date,advances,declines,unchanged,ad_diff,ad_line,breadth_thrust_ema10
20231221,260,618,74,-358,40357.0,0.4927096307054541
20231222,436,431,86,5,40362.0,0.49455942627604677
20231226,380,494,79,-114,40248.0,0.4836909139887023
20231227,302,593,58,-291,39957.0,0.4570980510085319
20231228,683,210,60,473,40430.0,0.5130507010033157
20240102,440,450,63,-10,40420.0,0.5096563958157874
20240103,281,612,60,-331,40089.0,0.4742042607321066
20240104,279,616,58,-337,39752.0,0.44466382124907244
20240105,343,519,91,-176,39576.0,0.43616345973953846
20240108,361,501,91,-140,39436.0,0.43300528587421844
20240109,574,290,89,284,39720.0,0.47506829787015176
20240110,337,540,76,-203,39517.0,0.45855852338437936
20240111,438,442,73,-4,39513.0,0.4656801141739963
20240112,270,621,62,-351,39162.0,0.4361074212387793
20240115,307,577,69,-270,38892.0,0.4199579024450564
20240116,231,651,71,-420,38472.0,0.39122096780136645
20240117,72,852,29,-780,37692.0,0.3342575332778594
20240118,422,448,83,-26,37666.0,0.3616757038208609
20240119,521,347,85,174,37840.0,0.4050492876255305
20240122,296,579,78,-283,37557.0,0.3929104561092003
20240123,485,381,87,104,37661.0,0.423298771248699
20240124,272,612,69,-340,37321.0,0.40227941423844604
20240125,425,447,81,-22,37299.0,0.4177532154861681
20240126,552,313,88,239,37538.0,0.45782541067365407
20240129,527,362,65,165,37703.0,0.48236640871253766
20240130,497,386,71,111,37814.0,0.4970004993347613
20240131,353,527,73,-174,37640.0,0.4795706564805072
20240201,670,242,41,428,38068.0,0.5259485594489636
20240202,713,182,58,531,38599.0,0.5751666476751043
20240205,437,460,56,-23,38576.0,0.5591689821304466
20240206,265,616,72,-351,38225.0,0.5121918129514303
20240207,644,241,68,403,38628.0,0.5513721407455718
20240208,448,439,66,9,38637.0,0.5429541661957467
20240213,599,287,67,312,38949.0,0.567157451389789
20240214,381,509,63,-128,38821.0,0.5418724397989999
20240215,333,541,79,-208,38613.0,0.5126241534698287
20240216,628,250,75,378,38991.0,0.5494673908385366
20240219,619,263,71,356,39347.0,0.5771667850418782
20240220,280,592,81,-312,39035.0,0.5306093545672081
20240221,317,554,82,-237,38798.0,0.5003075598008918
20240222,351,510,92,-159,38639.0,0.4834635498782716
20240223,342,518,93,-176,38463.0,0.4678655260103406
20240226,233,660,60,-427,38036.0,0.4302387491138254
20240227,150,748,56,-598,37438.0,0.3823840423504694
20240228,561,304,89,257,37695.0,0.43077874615852907
20240229,343,548,63,-205,37490.0,0.42244819563771496
20240304,438,445,70,-7,37483.0,0.4358278400836941
20240305,282,610,61,-328,37155.0,0.4140670505699038
20240306,344,536,73,-192,36963.0,0.40985651244975596
20240307,299,593,61,-294,36669.0,0.3962829272265227
20240308,523,352,78,171,36840.0,0.4329068105879341
20240311,357,518,78,-161,36679.0,0.42837829957194606
20240312,368,496,89,-128,36551.0,0.42793241345448785
20240313,447,431,75,16,36567.0,0.44269226870132145
20240314,511,367,75,144,36711.0,0.4680217754481095
20240315,326,549,78,-223,36488.0,0.4506671669250766
20240318,434,442,77,-8,36480.0,0.4588065529303968
20240319,279,604,70,-325,36155.0,0.43283595965591093
20240320,481,382,90,99,36254.0,0.455476340318915
20240321,655,219,79,436,36690.0,0.50892208164641
