date,advances,declines,unchanged,ad_diff,ad_line,breadth_thrust_ema10,open,high,low,close
20250327,282,611,70,-329,40174.0,0.43112817524660074,2620.28,2633.03,2603.41,2607.15
20250328,170,730,63,-560,39614.0,0.38708466863610763,2592.63,2592.63,2549.26,2557.98
20250331,88,826,49,-738,38876.0,0.33421110843451574,2513.44,2514.22,2479.46,2481.12
20250401,716,182,64,534,39410.0,0.41841406948448634,2511.24,2530.61,2494.43,2521.39
20250402,276,595,91,-319,39091.0,0.39995281188695214,2525.62,2532.15,2499.83,2505.86
20250403,277,609,76,-332,38759.0,0.3840779521841326,2437.43,2488.92,2437.43,2486.7
20250404,562,330,70,232,38991.0,0.42879920506871344,2450.49,2506.71,2438.02,2465.42
20250407,68,866,28,-798,38193.0,0.36407301127191016,2359.25,2369.4,2327.01,2328.2
20250408,548,343,71,205,38398.0,0.40970324225991706,2381.2,2381.31,2328.94,2334.23
20250409,145,762,55,-617,37781.0,0.3642785974308613,2329.99,2337.58,2284.72,2293.7
20250410,877,47,38,830,38611.0,0.47061597955874085,2395.13,2445.06,2391.39,2445.06
20250411,537,343,82,194,38805.0,0.49599985104392846,2400.74,2433.18,2394.25,2432.72
20250414,637,255,70,382,39187.0,0.5356590709519626,2454.28,2465.56,2449.48,2455.89
20250415,709,181,72,528,39715.0,0.5831081877758142,2464.51,2482.56,2461.23,2477.41
20250416,302,577,83,-275,39440.0,0.5395561974862412,2472.78,2475.83,2442.72,2447.43
20250417,641,225,96,416,39856.0,0.5760341174897925,2451.7,2473.24,2447.4,2470.41
20250418,621,248,93,373,40229.0,0.6012305505688531,2473.3,2486.37,2466.9,2483.42
20250421,500,373,89,127,40356.0,0.5960500297635613,2486.38,2498.84,2479.23,2488.42
20250422,462,416,84,46,40402.0,0.5833492788560427,2481.18,2494.59,2476.14,2486.64
20250423,629,255,78,374,40776.0,0.6066564029801188,2520.56,2526.72,2507.1,2525.56
20250424,404,458,100,-54,40722.0,0.5815693286563764,2525.34,2530.61,2507.21,2522.33
20250425,647,239,76,408,41130.0,0.6086018701729885,2544.59,2553.33,2534.94,2546.3
20250428,367,522,73,-155,40975.0,0.5730057841552388,2551.23,2558.69,2541.97,2548.86
20250429,660,238,64,422,41397.0,0.6024532038411258,2550.25,2571.41,2542.25,2565.42
20250430,345,551,66,-206,41191.0,0.5629243745713106,2561.04,2570.83,2544.46,2556.61
20250502,420,452,90,-32,41159.0,0.5481474657668521,2556.52,2567.04,2540.57,2559.79
20250507,461,417,84,44,41203.0,0.5439491897380063,2577.04,2581.85,2559.17,2573.8
20250508,532,341,89,191,41394.0,0.5558480457952218,2581.27,2590.9,2575.78,2579.48
20250509,353,539,70,-186,41208.0,0.526737475707709,2587.93,2589.58,2571.2,2577.27
20250512,661,240,61,421,41629.0,0.5643541711748372,2593.94,2607.33,2585.6,2607.33
20250513,452,420,90,32,41661.0,0.5559895262072688,2601.76,2620.64,2601.58,2608.42
20250514,590,293,79,297,41958.0,0.5763871887953428,2625.36,2646.01,2619.15,2640.57
